FIPS,jurisdiction_name,state_name_abbreviation,e2016_votediff,voters_removed_total,e2016_rep_winner,e2016_dem_winner,e2016_rep_vote,e2016_dem_vote,total_registered_voters
18097,MARION COUNTY,IN,82539,212759,0,1,130360,212899,640762
48201,HARRIS COUNTY,TX,161959,212685,0,1,545955,707914,2258976
32003,CLARK COUNTY,NV,82170,166838,0,1,320057,402227,1256947
48439,TARRANT COUNTY,TX,57529,124171,1,0,345921,288392,1134484
48029,BEXAR COUNTY,TX,79217,115552,0,1,240333,319550,1108798
12099,PALM BEACH COUNTY,FL,102271,113645,0,1,272402,374673,950443
18089,LAKE COUNTY,IN,41310,86920,0,1,75625,116935,351359
18003,ALLEN COUNTY,IN,28548,82229,1,0,83930,55382,256489
53063,SPOKANE COUNTY,WA,19668,80413,1,0,113435,93767,351780
17197,WILL COUNTY,IL,19207,73581,0,1,132720,151927,464161
48085,COLLIN COUNTY,TX,60390,69745,1,0,201014,140624,554057
48121,DENTON COUNTY,TX,59713,67704,1,0,170603,110890,503487
17097,LAKE COUNTY,IL,61328,65457,0,1,109767,171095,468629
18141,ST. JOSEPH COUNTY,IN,231,60584,0,1,52021,52252,191467
18057,HAMILTON COUNTY,IN,30141,59043,1,0,87404,57263,235632
40109,OKLAHOMA COUNTY,OK,28756,55128,1,0,141569,112813,408531
13135,GWINNETT COUNTY,GA,19164,54328,0,1,146989,166153,562545
12103,PINELLAS COUNTY,FL,5500,53259,1,0,239201,233701,716401
12057,HILLSBOROUGH COUNTY,FL,41026,52973,0,1,266870,307896,932271
13067,COBB COUNTY,GA,7209,50514,0,1,152912,160121,525544
48157,FORT BEND COUNTY,TX,17395,46850,0,1,117291,134686,432929
51810,VIRGINIA BEACH CITY,VA,7192,45265,1,0,98224,91032,307399
18105,MONROE COUNTY,IN,13624,45086,0,1,20592,34216,94206
53053,PIERCE COUNTY,WA,25714,44555,0,1,146824,172538,561428
18163,VANDERBURGH COUNTY,IN,11966,43877,1,0,40496,28530,124026
51153,PRINCE WILLIAM COUNTY,VA,41423,42203,0,1,71721,113144,284100
12031,DUVAL COUNTY,FL,5968,41263,1,0,211672,205704,652426
48491,WILLIAMSON COUNTY,TX,19707,40694,1,0,104175,84468,336148
18039,ELKHART COUNTY,IN,21127,40083,1,0,41867,20740,121175
53035,KITSAP COUNTY,WA,14138,39015,0,1,49018,63156,188243
51087,HENRICO COUNTY,VA,34078,37686,0,1,59857,93935,224720
51041,CHESTERFIELD COUNTY,VA,3971,34709,1,0,85045,81074,243083
20091,JOHNSON COUNTY,KS,7638,33407,1,0,137490,129852,416714
18127,PORTER COUNTY,IN,5156,31497,1,0,38832,33676,122253
34025,MONMOUTH COUNTY,NJ,29542,31361,1,0,166723,137181,451753
51107,LOUDOUN COUNTY,VA,30846,31211,0,1,69949,100795,255838
45019,CHARLESTON COUNTY,SC,13856,30823,0,1,75443,89299,312575
48027,BELL COUNTY,TX,14197,30476,1,0,51998,37801,195604
18157,TIPPECANOE COUNTY,IN,3486,30447,1,0,30768,27282,109508
17167,SANGAMON COUNTY,IL,9037,30185,1,0,49944,40907,148931
13051,CHATHAM COUNTY,GA,16602,29986,0,1,45688,62290,202358
12115,SARASOTA COUNTY,FL,26568,29440,1,0,124438,97870,323612
18035,DELAWARE COUNTY,IN,6110,29003,1,0,24263,18153,79028
22033,EAST BATON ROUGE PARISH,LA,18168,28917,0,1,84660,102828,286455
16001,ADA COUNTY,ID,18075,28770,1,0,93752,75677,274266
24003,ANNE ARUNDEL COUNTY,MD,6016,27911,0,1,122403,128419,385874
39153,SUMMIT,OH,22230,27491,0,1,112026,134256,373089
53011,CLARK COUNTY,WA,316,27119,0,1,92441,92757,317474
51550,CHESAPEAKE CITY,VA,1420,26702,1,0,54047,52627,160989
37021,BUNCOMBE COUNTY,NC,19736,25750,0,1,55716,75452,199231
18095,MADISON COUNTY,IN,13781,25142,1,0,32376,18595,90553
51700,NEWPORT NEWS CITY,VA,20150,25125,0,1,25468,45618,119524
37067,FORSYTH COUNTY,NC,18489,25031,0,1,75975,94464,263164
17119,MADISON COUNTY,IL,19903,24932,1,0,70490,50587,197361
18019,CLARK COUNTY,IN,11227,24484,1,0,30035,18808,88398
48355,NUECES COUNTY,TX,1568,23946,1,0,50766,49198,203026
31055,DOUGLAS COUNTY,NE,5721,22770,0,1,108077,113798,356903
17019,CHAMPAIGN COUNTY,IL,16769,22622,0,1,33368,50137,124057
27037,DAKOTA COUNTY,MN,10900,22520,0,1,99583,110483,269353
37129,NEW HANOVER COUNTY,NC,4365,22396,1,0,55344,50979,172680
18091,LAPORTE COUNTY,IN,2889,22135,1,0,22687,19798,76589
17111,MCHENRY COUNTY,IL,10809,22015,1,0,71612,60803,244460
37051,CUMBERLAND COUNTY,NC,20340,21930,0,1,51265,71605,220384
53067,THURSTON COUNTY,WA,20174,21923,0,1,48624,68798,201411
48209,HAYS COUNTY,TX,602,21164,1,0,33826,33224,127029
26081,KENT COUNTY,MI,9497,20768,1,0,148180,138683,458328
18167,VIGO COUNTY,IN,6006,20703,1,0,21937,15931,72592
34027,MORRIS COUNTY,NJ,10822,20522,1,0,126071,115249,350897
29047,CLAY COUNTY,MO,12172,20141,1,0,57476,45304,163436
13215,MUSCOGEE COUNTY,GA,12875,19943,0,1,26976,39851,127080
47125,MONTGOMERY COUNTY,TN,10642,19558,1,0,32341,21699,109727
12117,SEMINOLE COUNTY,FL,3529,18116,1,0,109443,105914,313387
17143,PEORIA COUNTY,IL,2427,17619,0,1,35633,38060,130810
22017,CADDO PARISH,LA,4477,17184,0,1,49006,53483,162551
18067,HOWARD COUNTY,IN,12460,16508,1,0,23675,11215,59746
51003,ALBEMARLE COUNTY,VA,14086,15916,0,1,19259,33345,78223
13151,HENRY COUNTY,GA,4333,15767,0,1,45724,50057,165735
29019,BOONE COUNTY,MO,4925,15293,0,1,36200,41125,121787
18005,BARTHOLOMEW COUNTY,IN,10799,15284,1,0,20640,9841,50325
18043,FLOYD COUNTY,IN,7487,15076,1,0,21432,13945,57926
12111,ST. LUCIE COUNTY,FL,3408,14956,1,0,70289,66881,213691
37147,PITT COUNTY,NC,6133,14929,0,1,35691,41824,124920
51177,SPOTSYLVANIA COUNTY,VA,10416,14683,1,0,34623,24207,90944
51179,STAFFORD COUNTY,VA,5960,14452,1,0,33868,27908,95708
53077,YAKIMA COUNTY,WA,10444,14319,1,0,41735,31291,126004
17083,JERSEY COUNTY,IL,5069,14179,1,0,7748,2679,16341
27163,WASHINGTON COUNTY,MN,2658,14085,0,1,64428,67086,166595
51680,LYNCHBURG CITY,VA,3190,14016,1,0,17982,14792,53235
42017,BUCKS COUNTY,PA,2699,13960,0,1,164361,167060,457235
39093,LORAIN,OH,131,13915,0,1,66818,66949,214629
18053,GRANT COUNTY,IN,9998,13742,1,0,17008,7010,43894
17163,ST. CLAIR COUNTY,IL,6899,13672,0,1,53857,60756,180207
39113,MONTGOMERY,OH,1893,13668,1,0,123909,122016,381738
18173,WARRICK COUNTY,IN,10027,13659,1,0,19113,9086,44753
31109,LANCASTER COUNTY,NE,310,13525,0,1,61588,61898,192254
17093,KENDALL COUNTY,IL,77,13520,1,0,24961,24884,81552
34001,ATLANTIC COUNTY,NJ,8234,13465,0,1,52690,60924,183644
51121,MONTGOMERY COUNTY,VA,562,13382,0,1,19459,20021,62940
13153,HOUSTON COUNTY,GA,12877,13126,1,0,35430,22553,102504
41029,JACKSON COUNTY,OR,9423,13107,1,0,53870,44447,153900
51770,ROANOKE CITY,VA,7497,12974,0,1,14789,22286,62194
41047,MARION COUNTY,OR,5589,12224,1,0,63377,57788,200405
48245,JEFFERSON COUNTY,TX,419,12211,1,0,42862,42443,149172
37049,CRAVEN COUNTY,NC,10101,12129,1,0,27731,17630,70210
39173,WOOD,OH,5180,11887,1,0,32498,27318,94928
34015,GLOUCESTER COUNTY,NJ,674,11855,1,0,67544,66870,211655
53015,COWLITZ COUNTY,WA,6277,11557,1,0,24185,17908,71532
18177,WAYNE COUNTY,IN,7706,11544,1,0,16028,8322,40861
18011,BOONE COUNTY,IN,9473,11335,1,0,19654,10181,48736
36083,RENSSELAER COUNTY,NY,1009,11277,1,0,33726,32717,107464
39155,TRUMBULL,OH,6010,11171,1,0,49024,43014,141548
37001,ALAMANCE COUNTY,NC,8982,11037,1,0,38815,29833,103256
24021,FREDERICK COUNTY,MD,3000,11018,1,0,59522,56522,172907
51660,HARRISONBURG CITY,VA,3950,10903,0,1,6262,10212,26298
20103,LEAVENWORTH COUNTY,KS,7429,10704,1,0,17638,10209,45437
13097,DOUGLAS COUNTY,GA,6188,10606,0,1,24817,31005,97948
53027,GRAYS HARBOR COUNTY,WA,2047,10488,1,0,14067,12020,46639
28089,MADISON COUNTY,MS,7922,10193,1,0,28265,20343,83235
47113,MADISON COUNTY,TN,5887,10130,1,0,21335,15448,59407
26021,BERRIEN COUNTY,MI,9152,10038,1,0,38647,29495,125275
45041,FLORENCE COUNTY,SC,2863,9823,1,0,29573,26710,96050
20177,SHAWNEE COUNTY,KS,2008,9785,1,0,35934,33926,110260
17113,MCLEAN COUNTY,IL,1041,9782,1,0,37237,36196,61483
53057,SKAGIT COUNTY,WA,1954,9622,0,1,24736,26690,82638
28075,LAUDERDALE COUNTY,MS,6472,9573,1,0,17741,11269,48407
32031,WASHOE COUNTY,NV,2621,9441,0,1,94758,97379,302351
13185,LOWNDES COUNTY,GA,6571,9333,1,0,21635,15064,73208
51800,SUFFOLK CITY,VA,5274,9068,0,1,18006,23280,62897
54011,CABELL COUNTY,WV,8403,9049,1,0,19850,11447,54924
53029,ISLAND COUNTY,WA,2495,9042,0,1,18465,20960,62638
36071,ORANGE COUNTY,NY,8367,9004,1,0,76645,68278,232263
27109,OLMSTED COUNTY,MN,600,8952,0,1,35668,36268,93811
34011,CUMBERLAND COUNTY,NJ,3318,8855,0,1,24453,27771,90049
30013,CASCADE COUNTY,MT,7457,8701,1,0,19632,12175,49406
51095,JAMES CITY COUNTY,VA,2201,8682,1,0,21306,19105,58093
10001,KENT COUNTY,DE,3640,8636,1,0,36991,33351,123722
17077,JACKSON COUNTY,IL,791,8288,0,1,10843,11634,39503
40031,COMANCHE COUNTY,OK,7720,8236,1,0,19183,11463,55036
17081,JEFFERSON COUNTY,IL,7270,8212,1,0,11695,4425,25933
17037,DE KALB COUNTY,IL,1375,8164,0,1,19091,20466,67251
17187,WARREN COUNTY,IL,1288,8140,1,0,4275,2987,11814
37191,WAYNE COUNTY,NC,5770,8074,1,0,27540,21770,75769
37155,ROBESON COUNTY,NC,1746,8073,1,0,20762,19016,77304
18083,KNOX COUNTY,IN,7305,8070,1,0,11077,3772,24254
42043,DAUPHIN COUNTY,PA,3843,7952,0,1,60863,64706,185853
51199,YORK COUNTY,VA,5838,7905,1,0,18837,12999,46212
36093,SCHENECTADY COUNTY,NY,4794,7824,0,1,28953,33747,101574
42077,LEHIGH COUNTY,PA,7634,7788,0,1,73690,81324,234026
17091,KANKAKEE COUNTY,IL,6158,7741,1,0,25129,18971,72057
13217,NEWTON COUNTY,GA,1030,7703,0,1,20913,21943,74679
30031,GALLATIN COUNTY,MT,444,7661,0,1,23802,24246,79576
53009,CLALLAM COUNTY,WA,1117,7655,1,0,18794,17677,57335
17099,LA SALLE COUNTY,IL,7146,7625,1,0,26689,19543,81001
53075,WHITMAN COUNTY,WA,743,7418,0,1,7403,8146,28150
37189,WATAUGA COUNTY,NC,441,7329,0,1,13697,14138,47638
45085,SUMTER COUNTY,SC,5302,7177,0,1,18745,24047,75135
49005,CACHE COUNTY,UT,4684,7170,1,0,21139,8563,65493
42027,CENTRE COUNTY,PA,1814,6841,0,1,35274,37088,111132
37127,NASH COUNTY,NC,84,6793,1,0,23319,23235,67256
26145,SAGINAW COUNTY,MI,1073,6737,1,0,45469,44396,148679
41017,DESCHUTES COUNTY,OR,3248,6614,1,0,45692,42444,135315
17161,ROCK ISLAND COUNTY,IL,5300,6595,0,1,26998,32298,100163
42095,NORTHAMPTON COUNTY,PA,5464,6509,1,0,71736,66272,209313
48021,BASTROP COUNTY,TX,5759,6389,1,0,16328,10569,47519
13285,TROUP COUNTY,GA,6037,6368,1,0,15750,9713,42040
51683,MANASSAS CITY,VA,2470,6368,0,1,5953,8423,22099
18143,SCOTT COUNTY,IN,3432,6300,1,0,6074,2642,16899
17181,UNION COUNTY,IL,3388,6284,1,0,5790,2402,13191
28087,LOWNDES COUNTY,MS,1452,6049,1,0,13271,11819,42866
12087,MONROE COUNTY,FL,2933,6034,1,0,21904,18971,62143
48409,SAN PATRICIO COUNTY,TX,5159,5919,1,0,13030,7871,41647
17195,WHITESIDE COUNTY,IL,1580,5803,1,0,12615,11035,39657
26121,MUSKEGON COUNTY,MI,1177,5691,0,1,36127,37304,129496
37195,WILSON COUNTY,NC,2132,5673,0,1,17531,19663,56707
13179,LIBERTY COUNTY,GA,3422,5560,0,1,6134,9556,36224
42049,ERIE COUNTY,PA,1957,5534,1,0,60069,58112,191910
42069,LACKAWANNA COUNTY,PA,3599,5528,0,1,48384,51983,143610
37037,CHATHAM COUNTY,NC,3960,5524,0,1,17105,21065,54251
51630,FREDERICKSBURG CITY,VA,2963,5514,0,1,3744,6707,18036
22097,ST. LANDRY PARISH,LA,4762,5356,1,0,21971,17209,60045
36027,DUTCHESS COUNTY,NY,464,5289,0,1,61797,62261,199344
28035,FORREST COUNTY,MS,3745,5226,1,0,15461,11716,51072
53007,CHELAN COUNTY,WA,5082,5173,1,0,18114,13032,48483
36091,SARATOGA COUNTY,NY,3662,5071,1,0,54575,50913,162883
53037,KITTITAS COUNTY,WA,2611,4969,1,0,10100,7489,28669
17127,MASSAC COUNTY,IL,3288,4948,1,0,4846,1558,11107
18077,JEFFERSON COUNTY,IN,4220,4934,1,0,8546,4326,21130
54061,MONONGALIA COUNTY,WV,3733,4881,1,0,18432,14699,68863
28011,BOLIVAR COUNTY,MS,4456,4820,0,1,4590,9046,23627
51830,WILLIAMSBURG CITY,VA,3281,4720,0,1,1925,5206,10861
24045,WICOMICO COUNTY,MD,4148,4701,1,0,22198,18050,61443
37069,FRANKLIN COUNTY,NC,3494,4678,1,0,16368,12874,44916
41071,YAMHILL COUNTY,OR,3949,4663,1,0,23250,19301,67652
19163,SCOTT COUNTY,IA,1291,4660,0,1,39149,40440,128308
18041,FAYETTE COUNTY,IN,4587,4658,1,0,6839,2252,15502
45031,DARLINGTON COUNTY,SC,1101,4636,1,0,14989,13888,47407
53045,MASON COUNTY,WA,1684,4600,1,0,13677,11993,42851
